name,description,image,attribute::Aerial Domain,attribute::Grid Speed,attribute::Exodus Sovereignty,attribute::Veiled Power,attribute::Phantom Weapon,attribute::Reward Modulation
string,string,string,string,string,string,string,string,string
Exodus Key Card #1,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Exodus Flight,Exodus Warp,Exodus Dominion,Exodus Sprawl,Quantum Raygun,Exodus
Exodus Key Card #2,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Exodus Flight,Exodus Warp,Shadow Insurrection,Exodus Sprawl,Quantum Raygun,Exodus
Exodus Key Card #3,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Veil Shatter,Exodus Warp,Exodus Dominion,Exodus Sprawl,Nebula Cannon,Exodus
Exodus Key Card #4,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Holo Sprint,Umbral Rule,Veil Rend,Ghostwire Rifle,Exodus
Exodus Key Card #5,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Veil Shatter,Holo Sprint,Spectral Decree,Oblivion Strike,Ghostwire Rifle,Exodus
Exodus Key Card #6,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Chrome Blitz,Silent Ascendancy,Veil Rend,Ghostwire Rifle,Exodus
Exodus Key Card #7,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Veil Shatter,Flux Burst,Silent Ascendancy,Veil Rend,Reaper Katanas,Exodus
Exodus Key Card #8,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Holo Sprint,Spectral Decree,Veil Rend,Ghostwire Rifle,Exodus
Exodus Key Card #9,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Flux Burst,Umbral Rule,Grid Surge,Echo Dagger,Exodus
Exodus Key Card #10,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Chrome Blitz,Silent Ascendancy,Grid Surge,Ghostwire Rifle,Exodus
Exodus Key Card #11,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Veil Shatter,Chrome Blitz,Silent Ascendancy,Eternal Edict,Reaper Katanas,Exodus
Exodus Key Card #12,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Chrome Blitz,Silent Ascendancy,Veil Rend,Reaper Katanas,Exodus
Exodus Key Card #13,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Chrome Blitz,Umbral Rule,Eternal Edict,Reaper Katanas,Exodus
Exodus Key Card #14,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Ghost Overdrive,Silent Ascendancy,Oblivion Strike,Echo Dagger,Exodus
Exodus Key Card #15,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Chrome Blitz,Umbral Rule,Oblivion Strike,Ghostwire Rifle,Exodus
Exodus Key Card #16,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Chrome Blitz,Silent Ascendancy,Exodus Sprawl,Ghostwire Rifle,Exodus
Exodus Key Card #17,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Chrome Blitz,Umbral Rule,Oblivion Strike,Reaper Katanas,Exodus
Exodus Key Card #18,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Exodus Flight,Chrome Blitz,Exodus Dominion,Veil Rend,Echo Dagger,Exodus
Exodus Key Card #19,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Flux Burst,Umbral Rule,Oblivion Strike,Quantum Raygun,Exodus
Exodus Key Card #20,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Chrome Blitz,Spectral Decree,Veil Rend,Reaper Katanas,Exodus
Exodus Key Card #21,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Ghost Overdrive,Silent Ascendancy,Oblivion Strike,Echo Dagger,Exodus
Exodus Key Card #22,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Chrome Blitz,Umbral Rule,Grid Surge,Reaper Katanas,Exodus
Exodus Key Card #23,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Chrome Blitz,Spectral Decree,Veil Rend,Quantum Raygun,Exodus
Exodus Key Card #24,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Holo Sprint,Shadow Insurrection,Oblivion Strike,Echo Dagger,Exodus
Exodus Key Card #25,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Chrome Blitz,Silent Ascendancy,Veil Rend,Ghostwire Rifle,Exodus
Exodus Key Card #26,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Chrome Blitz,Spectral Decree,Veil Rend,Echo Dagger,Exodus
Exodus Key Card #27,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Flux Burst,Silent Ascendancy,Oblivion Strike,Nebula Cannon,Exodus
Exodus Key Card #28,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Fading Horizon,Holo Sprint,Exodus Dominion,Grid Surge,Reaper Katanas,Exodus
Exodus Key Card #29,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Holo Sprint,Umbral Rule,Veil Rend,Echo Dagger,Exodus
Exodus Key Card #30,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Holo Sprint,Silent Ascendancy,Eternal Edict,Ghostwire Rifle,Exodus
Exodus Key Card #31,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Holo Sprint,Umbral Rule,Oblivion Strike,Echo Dagger,Exodus
Exodus Key Card #32,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Ghost Overdrive,Silent Ascendancy,Exodus Sprawl,Echo Dagger,Exodus
Exodus Key Card #33,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Exodus Flight,Exodus Warp,Shadow Insurrection,Eternal Edict,Nebula Cannon,Exodus
Exodus Key Card #34,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Shadow Split,Holo Sprint,Silent Ascendancy,Grid Surge,Echo Dagger,Exodus
Exodus Key Card #35,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Holo Sprint,Shadow Insurrection,Veil Rend,Ghostwire Rifle,Exodus
Exodus Key Card #36,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Chrome Blitz,Exodus Dominion,Grid Surge,Ghostwire Rifle,Exodus
Exodus Key Card #37,The Code Shall Prevail.,https://drive.google.com/file/d/16DeT5xl8vTzMswpBa5TKZ-oAkGjnlIYU/view?usp=sharing,Silent Drift,Holo Sprint,Shadow Insurrection,Eternal Edict,Echo Dagger,Exodus
