wallet,genesis_qty,exodus_qty
0x004eccb6fd0dab797aeb0eb1045c4fa523d78b91,1,0
0x005c93d07f898ad7ed74ca753eb0b295f7a5ef1c,1,0
0x00ef9bf87c7dc3b93e0dad2065ff4ce5c46ea1d4,3,0
0x05af8cdc4e63eb50e266515b67212cc64cb836cc,1,0
0x086c6b77caeb11b3a94fdd7b38d01db7c34e1c5f,1,1
0x09289a7d0d3d1fb5e86772b1218b1640653cd835,0,3
0x0b5bfb355f553a267460bb4cb1c768a8d4940687,3,6
0x0c5dac9837dea5181b421866f1b61e9e402a5afc,1,0
0x0cd48235226fc0245ab7893a2c3a82d65f56bd64,1,0
0x0d3e040b108d0835b5111b8b49f7737ace376fee,1,0
0x0e9ef1946f052a5ccbbc5905ec3dd76c9656b9ac,2,0
0x0f45015419931b34e73deea112166bf07cee1b00,3,0
0x0ff1c722c62479546755bf1b6ebe9b1d8c5f213b,3,9
0x1019adb11519436b7656e56f00884998e28eadbf,1,0
0x14486e8de4c9cc044c5ef5131a83eaff9e0de31b,1,0
0x1470d9eb113bb99112ae00da3beb09e102c395ac,1,0
0x16d82705f9bf5b9cc09fc1445d0269afd91b073e,5,1
0x18a428ce0c31584a21cf8cefdb8849d8013e1994,1,0
0x1c2e4b068f69a46d8cf7995db90d38428163b979,21,0
0x1f200ba7b67f9618a34e11e3f67907407b7b54b5,7,60
0x247aa513c50128ed396bba37b23a999e9014ed62,2,0
0x24d68ca65f4a61d175d6c98339c2b9465a6a231f,3,0
0x26fbd02fc02de6dd6f387f0694e08680a415dc5f,1,0
0x272ce9cf8f219a35501985bff7662a591a5d701e,3,1
0x27ccc7ec03a771c2e325a45610482a0d7d07c4e7,1,5
0x2c9bc82ee41615a01db6cd0af3d80aeec0abdf67,1,0
0x2df721db17357e67fea97b72d8a6acec276daf2e,3,0
0x2e2b2b48be8499c51a6e56746df581f6dd205731,3,0
0x2f175de7361b988ece18b4cd4fa43f4bf4d0e170,2,0
0x320dfeaf0776db3208b09d56a42acbeeb563a988,3,0
0x340143acb1dab779afd88e0d51c22e3eae963860,3,1
0x381da90cf81e58dcf92fec2446da393262bcd743,21,0
0x390cc99e7bb9c6fcdf6d482bb55c445b04f73b82,0,2
0x3c3eac094694947c02d1251f4517e8c42b48b194,3,1
0x3ccfdd92dbe4a95c756a786d68fa74efdf06c79b,3,3
