wallet,quantity
0xf550c56b8e60bc1042358630c68b13356a42a0d5,1
0xd5ebe7486713b9dc52e3ec74f53b76e7ba9b24bc,2
0xc8ef2e76deae8394a632cd8403ce4b0993fd615a,22
0xebd09d39dd7a7d661cf84992008030c5cd592a08,2
0xb2f9b85b8ad7e2ba37c076501b03b842c1409878,1
0x2ffbe8ebe96398b1dec3eacfb2ae06a955b263a7,3
0xde350ce2a0f5b9074ec2199bd5587de13af25a07,1
0x68c311a6896ba62583875bbf823a712cb4a27bca,1
0xe2876e6f82e946be5be75d6fdc3fc743340a9635,1
0x5e0effcd942fbab80567a623c25d3e8b795c0f38,5
0x1f200ba7b67f9618a34e11e3f67907407b7b54b5,10
0x855f3297d95e05d9257e8a72b58bfce3d6425942,1
0xda018e9adcfb93119125b34a7a7450ea7dfac8e2,2
0x641daa44170d795982a54f05d0fc94c3d6293c51,1
0xd490e2f83b019d407c4f9ad3446926a91aab4fd6,3
0x9c6db316846845e96e5e9e46e9bd468e9703a7c2,10
0x60ae1a2f572c6681d1c52342c5785d4840e29e7f,15
0xa81606199932d4f9cac41778c52e061a7f153c43,1
0x09289a7d0d3d1fb5e86772b1218b1640653cd835,4
0xfbec2c5cbb8bf4179e605520c6be48d75ed5df81,2
