wallet,total_gp,genesis_gp,exodus_gp,bytes_amount,choice,choice_label,voted_at_utc,reason,vote_id
0xeac06820214b75a23038854495a8d07110341e48,139,70,69,206.25,5,Full-Spectrum Vault,2026-09-02 00:14:37 UTC,,0x6568ab61373b465f53362343874500648a9a82f84b52693b54d8c71b18ca1f48
0x5e0effcd942fbab80567a623c25d3e8b795c0f38,124,36,88,179,3,Liquid Diversified,2026-08-31 18:33:46 UTC,,0x6bceb5f25baef114f1088c7d9b38a39c10daaa1243b6434ad0d0afcd0c093883
0x60ae1a2f572c6681d1c52342c5785d4840e29e7f,123,24,99,174.75,3,Liquid Diversified,2026-08-31 22:44:42 UTC,,0x67a61eedb7fb6c0c45b1b1e2b9869cdf58415af2e9cab5be456cff6baff924d7
0x1f200ba7b67f9618a34e11e3f67907407b7b54b5,78,7,71,114.25,4,Frontier Mix,2026-08-31 17:19:30 UTC,,0x9caca17c9387f9aca3669d7fdda0246c7fe0a75287fc49b2999198d2c6a01b83
0xc8ef2e76deae8394a632cd8403ce4b0993fd615a,65,23,42,102,5,Full-Spectrum Vault,2026-08-31 17:16:40 UTC,,0x87bba58869ef929f4a6da88dbeff931ca39e811309a084b054fbfdee3b51feae
0x855f3297d95e05d9257e8a72b58bfce3d6425942,39,21,18,64,5,Full-Spectrum Vault,2026-09-01 14:23:17 UTC,,0x03a9caccb648b6f272530601e9fa67aa345d091149bcb7e645f84dc12dbb9f81
0xe7d43779c6a30c59c48f2a5dacb9acac0c0c0ed4,27,26,1,50.25,1,Bitcoin Reserve,2026-09-01 19:33:17 UTC,,0x1d8f5b5c990182c9412d2f3d7f36acd18b367705f79a0f8bf627445e0acdff6e
0xe2876e6f82e946be5be75d6fdc3fc743340a9635,27,21,6,49,4,Frontier Mix,2026-08-31 23:23:15 UTC,,0x07edd3cc43593080404382bc48ba309e5f6a7f800481fb214a4ca163df1adf8e
0x4368679c4782fcdd52b42fabf9b8dea103170fba,11,11,0,26.5,2,Blue-Chip Core,2026-08-31 19:27:08 UTC,,0xe73ae19aeb0a3df3a1a467ea02ba121e8e5ec6e22dde2138e1cce75168d703f4
0xebd09d39dd7a7d661cf84992008030c5cd592a08,10,5,5,19.75,5,Full-Spectrum Vault,2026-09-01 22:54:32 UTC,,0x9362abd6a9e285664c2dcae0e89a57e021d14b1b36558d033fde06d04174b2fb
